,tick0,tick1,tick2,tick4
GO:0002377,2,1,0,0
GO:0002381,2,1,0,0
GO:0002385,1,0,0,2
GO:0002429,9,3,2,0
GO:0002433,1,5,1,2
GO:0002440,2,3,0,2
GO:0002443,3,1,1,3
GO:0002444,1,0,1,2
GO:0002446,1,0,1,2
GO:0002449,2,1,0,1
GO:0002456,0,0,0,1
GO:0002460,3,1,0,1
GO:0002474,13,5,3,6
GO:0002478,18,8,5,7
GO:0002479,11,3,3,4
GO:0002495,7,5,2,3
GO:0002504,7,5,2,3
GO:0002520,24,35,26,19
GO:0002521,5,4,3,3
GO:0002523,1,0,0,0
GO:0002526,1,1,3,0
GO:0002532,0,1,0,0
GO:0002537,0,1,0,0
GO:0002543,0,1,0,0
GO:0002562,2,1,0,0
GO:0002573,2,1,3,0
GO:0002576,2,5,0,2
GO:0002634,0,1,0,1
GO:0002636,0,1,0,1
GO:0002637,1,0,0,0
GO:0002673,0,0,1,0
GO:0002674,0,0,1,0
GO:0002682,54,73,42,46
GO:0002683,6,10,1,9
GO:0002684,18,27,18,6
GO:0002685,0,3,0,1
GO:0002686,0,3,0,1
GO:0002688,0,2,0,0
GO:0002689,0,2,0,0
GO:0002694,5,3,6,5
GO:0002695,1,0,0,3
GO:0002696,3,2,4,1
GO:0002697,11,22,15,8
GO:0002699,1,1,2,1
GO:0002700,10,19,11,7
GO:0002702,0,1,0,1
GO:0002703,1,0,2,0
GO:0002705,0,0,2,0
GO:0002706,1,0,2,0
GO:0002708,0,0,2,0
GO:0002709,0,0,2,0
GO:0002711,0,0,2,0
GO:0002712,1,0,0,0
GO:0002718,0,1,0,0
GO:0002720,0,1,0,0
GO:0002753,6,1,0,0
GO:0002755,8,4,0,0
GO:0002756,7,5,1,0
GO:0002757,13,14,4,2
GO:0002758,10,12,2,2
GO:0002759,9,20,11,9
GO:0002761,0,0,0,2
GO:0002764,13,14,4,2
GO:0002768,9,3,2,0
GO:0002775,0,2,0,1
GO:0002781,0,0,0,1
GO:0002784,9,18,11,7
GO:0002786,2,7,2,5
GO:0002788,1,3,2,2
GO:0002790,1,2,1,0
GO:0002791,2,6,5,0
GO:0002792,0,3,1,0
GO:0002793,0,2,0,0
GO:0002804,0,0,0,1
GO:0002805,5,9,4,6
GO:0002806,0,1,0,1
GO:0002807,3,8,3,4
GO:0002808,2,7,2,5
GO:0002809,0,1,0,1
GO:0002810,1,3,2,1
GO:0002813,2,3,0,3
GO:0002814,0,1,0,1
GO:0002816,0,0,0,1
GO:0002819,1,1,2,1
GO:0002821,0,1,2,1
GO:0002822,1,1,2,1
GO:0002824,0,1,2,1
GO:0002831,11,23,13,10
GO:0002832,0,3,0,3
GO:0002861,3,0,1,1
GO:0002862,3,0,1,1
GO:0002864,0,0,1,0
GO:0002865,0,0,1,0
GO:0002889,1,0,0,0
GO:0002902,0,2,0,1
GO:0002903,0,2,0,1
GO:0002905,0,1,0,1
GO:0002906,0,1,0,1
GO:0002920,9,20,11,9
GO:0002921,0,2,0,2
GO:0002931,0,0,0,1
GO:0002943,1,1,0,2
GO:0003001,33,66,38,28
GO:0003002,104,150,47,102
GO:0003006,234,379,178,185
GO:0003007,8,16,4,6
GO:0003008,196,245,144,172
GO:0003009,0,1,0,0
GO:0003011,0,1,0,0
GO:0003012,29,23,18,16
GO:0003013,19,12,11,18
GO:0003014,5,1,2,5
GO:0003015,14,7,8,11
GO:0003016,0,1,0,0
GO:0003018,3,3,1,4
GO:0003044,4,3,3,3
GO:0003062,0,1,0,0
GO:0003065,0,1,0,0
GO:0003071,3,1,2,1
GO:0003073,5,4,3,7
GO:0003081,4,2,3,3
GO:0003084,1,0,1,2
GO:0003085,0,1,0,0
GO:0003094,1,0,0,1
GO:0003096,0,0,0,1
GO:0003136,0,1,0,2
GO:0003142,0,1,0,1
